name,contact,state,city,status,date_time,info
Max east/ west block,"0-1126515050, 8447786890, 9958989855",Delhi,Delhi,Beds Available,04/06 09:40 pm,"4 ICU, 4 GEN Ward admission available ; ICU is not"
Mansaram hospital,8285853737,Delhi,Nangloi,Beds Available,04/06 09:40 pm,41 BEDS
Manpur hospital,8109079346,Madhya Pradesh,Bhopal,Beds Available,04/06 09:40 pm,"5 oxygen beds; 10 isolation beds. 9 ICU, Oxygen level below 88."
Mann multi-speciality hospital ,9053025025,Haryana,Rohtak,Beds Available,04/06 09:40 pm,"Ventilator, oxygen, ICU and general beds are available"
Mani hospital and trauma centre,9999668278,Uttar Pradesh,Varanasi,Beds Available,04/06 09:40 pm,8 icu 12 oxygen
Manavta hospital ballabhgarh,"9999564040, 0129-2241711",Haryana,Faridabad,Beds Available,04/06 09:39 pm,20 beds. 
"Maharaja agrasen medical college,","01669-281193, 94, 01669-252000, 01669252392",Haryana,Hisar,Beds Available,04/06 09:39 pm,
Maharaja agrasen,"9910489495
8130402916 9474299271, 9958602884, 01140777666",Delhi,Punjabi Bagh,Beds Available,04/06 09:39 pm,"195 Oxy Beds, 27 Icu & 6 Ventilators"
"Maha durga charitable trust hospital, model town, delhi",9811755635  8076344435  9212266606  9212266616,Delhi,Delhi,Beds Available,04/06 09:39 pm,"80 OXY ward, 20 ICU/ ventilators, admit less than 80 spo"
Madhukar rainbow children hospital,"18002122, 9100065913, 8448284610, +91-8439185914",Delhi,Malviya Nagar,Beds Available,04/06 09:39 pm,"40 Oxy, 24 Icu"
Madalasa hospital sector 46,9319661010,Haryana,Gurugram,Beds Available,04/06 09:39 pm,no info
Maa chandrika devi hospital,"9415020266, 9140190282",Uttar Pradesh,Lucknow,Beds Available,04/06 09:38 pm,"20 icu, 20 gen"
Lords hospital research centre,"9351233471 , 7665322200",Tijara road rj,Delhi,Beds Available,04/06 08:04 pm,Oxygen+non-oxygen+ICU+ventilator=80
Lifeline hospital,9820695163,Maharashtra,Airoli,Beds Available,04/06 08:04 pm,"10 Oxygen beds, 10 ICU beds, 10 Ventilators available"
Lalitha hospital,"8076868086, 919312746810",Delhi,Begampur,Beds Available,04/06 08:00 pm,"ICU-3, Oxygen-15, total COVID beds-38"
Lalita hospital ,8595075850,Delhi,Delhi,Beds Available,04/06 07:59 pm,"35 oxygen, 3 ICU, 1 ventilator "
Kk hospital,O5222231932,Uttar Pradesh,Lucknow,Beds Available,04/06 07:55 pm,ICU+Ventilator+Oxygen+Non-oxygen=25
Kindcare (nursing services),9654535285,Haryana,Faridabad,Beds Available,04/06 07:53 pm,ICU+Ventilator+Oxygen+Non-oxygen=36
"Khandelwal hospital, east krishna nagar",01142408561,Delhi,Delhi,Beds Available,04/06 07:53 pm,ICU+Non-ICU+Oxygen =30
Jeewan nursing home,011 4243 0246,Delhi,Delhi,Beds Available,04/06 06:21 pm,"Oxygen, ICU, beds available."
Jeevan jyoti hospital,9897029148,Uttar Pradesh,Agra,Beds Available,04/06 06:20 pm,Beds are available.
Jeevan anmol hospital,"8527677688, 01122750380, 01122795237",Delhi,Delhi,Beds Available,04/06 06:19 pm,Oxygen and ICU beds. No ventilator.
Jay hospital,9810848449; 9560432605,Delhi,Delhi,Beds Available,04/06 06:18 pm,Oxygen and ICU beds are available. No ventilator.
"Jai shri ram hospital, gurgaon
",9868416932,Haryana,Gurugram,Beds Available,04/06 06:17 pm,Oxygen beds. No ICU.
"Indraprastha apollo hospital, sarita vihar","01126925801, 8929700875, 01129873042",Delhi,Delhi,Beds Available,04/06 06:07 pm,Oxygen beds. No ICU.
Indian spinal injuries,011-42255384,Delhi,Vasant Kunj,Beds Available,04/06 06:06 pm,"Oxygen, ICU, Ventilator beds available."
"Fortis ss hospital, vasant kunj","9667000508, 8296612492, 011-42776222",Delhi,Delhi,Beds Available,04/06 02:36 pm,in emergency
Eureka hospital,9826589954,Madhya Pradesh,Indore,Beds Available,04/06 02:35 pm,"8 oxy, 5 normal, 2 icu"
Esic okhla,"011-26814161, (1800-11-3839)",Delhi,Okhla,Beds Available,04/06 02:29 pm,general
Esic jhilmil,011-21210619,Delhi,Delhi,Beds Available,04/06 02:29 pm,28 oxy
Esi hospital indiranagar,080 2526 6994,Bangalore,Karnataka,Beds Available,04/06 02:27 pm,26 oxy and normal
Esi hospital gurgaon,"9650645831, 0124 2552001, 0124 2370333",Haryana,Delhi,Beds Available,04/06 02:27 pm,
Drdo's svp covid hospital,"7835964370, 9968656990 , 9868100678, 9818047498, 9968503421 ",Delhi,Delhi,Beds Available,04/06 02:27 pm,Call personally.
Dr upendr madhav hospital,9650800229,Haryana,Faridabad,Beds Available,04/06 02:27 pm,"7 ICU beds, 5 venti, 17 oxygen beds"
Dr ram manohar lohia hospital,011 23365525 Ext. 4903,Delhi,Delhi,Beds Available,04/06 02:26 pm,86
Dr baba saheb ambedkar hospital,"01127049963,",Delhi,Delhi,Beds Available,04/06 02:26 pm,"244 beds for covid patients. Has oxygen, ventilator and ICU beds"
Doon medical college (pro office),9412080805,Uttarakhand,Dehradun,Beds Available,04/06 02:26 pm,oxy
Dns hospital,9893352411,Madhya Pradesh,Indore,Beds Available,04/06 02:26 pm,"25 oxy, 10 normal, 3 icu"
"Divya prastha hospital, palam colony",8751002222,Delhi,Delhi,Beds Available,04/06 02:25 pm,"12 OXY, 6 NORMAL"
Devkamal hospital (private),092040 55638,Jharkhand,Ranchi,Beds Available,04/06 01:07 pm,60 beds available
Dhanvantari covid hospital,"6357374801, 6357374802",Gujarat,Ahmedabad,Beds Available,04/06 01:00 pm,5 beds
Dev jyoti hospital,8397968680,Haryana,Rewari,Beds Available,04/06 12:56 pm,250 beds
"Desun hospital, kolkata","90517 15171, 8697339733,03371222000",West Bengal,Kolkata,Beds Available,04/06 12:56 pm,Enough beds
Daukiya hospital ,9414495063,Rajasthan,Jodhpur,Beds Available,04/06 12:53 pm,150 oxygen beds. 200 general beds. oxygen level should be 85+ without oxygen support.
Csk hospital,9654394265,Gurgaon,Delhi,Beds Available,04/06 12:53 pm,36 non-ICU and 2 ICU
Bensups hospital,011 4555 0000,Delhi,Delhi,Beds Available,04/06 12:48 pm,30 general and 15 ICU. Oxygen level above 60.
Covid care center cwg village,9310080537,Delhi,Delhi,Beds Available,04/06 12:47 pm,Beds available
Ck birla,0124-4882200,Haryana,Gurugram,Beds Available,04/06 12:39 pm,50 beds.
"Asian superspeciality hospital, jaipur",7230077750,Rajasthan,Jaipur,Beds Available,04/06 12:03 pm,10 oxygen and ventilator beds available.
Artemis gurgaon,"01244511111, 01244588830",Gurgaon,Haryana,Beds Available,04/06 11:54 am,350 beds
Cgs hospital,"9599198053, 09871173355",Delhi,Delhi,Beds Available,04/06 11:47 am,"2 oxygen, 3 ICU."
Career institute of medical science ,"9977683553, 0755-6458013",Madhya Pradesh,Bhopal,Beds Available,04/06 11:41 am,20 oxygen. 5 ICU
Burari hospital,011-27611215  01127611201,Delhi,Delhi,Beds Available,04/06 11:39 am,350 oxygen. No ICU
Buddha hospital,7762919191,Bihar,Patna,Beds Available,04/06 11:37 am,"13 ICU, 13 oxygen, 4 ventilator"
"Apollo hospital, sarita vihar (sanjeev sharma) ","8929700878, 011 71792058, 01171792060",Delhi,Delhi,Beds Available,04/06 10:30 am,Call personally with details.  01171793052 (COVID Clinic) or 01129872095 (COVID reception) 
Apex hospital,7980380983,West Bengal,Kolkata,Beds Available,04/06 10:28 am,"2 ICU, 1 ventilator. General oxygen beds available; attendant may forward the patient's details to this number on Whatsapp"
Ambedkar nagar hospital,"01126052016, 9310586617  ",Delhi,Delhi,Beds Available,04/06 10:19 am,Oxygen beds. No ICU or ventilator
Ambala hospital,8699646607,Haryana,Ambala,Beds Available,04/06 10:16 am,"Oxygen, ventilator, ICU all available."
Advanced neuro and general hopital,9415022002,Uttar Pradesh,Lucknow,Beds Available,04/06 10:03 am,Both ICU and oxygen beds available.
Aadhar hospital,9174884411,Madhya Pradesh,Bhopal,Beds Available,04/06 09:59 am,Oxygen and ICU beds.
Hahc hospital,"8588890999, 7291970608, 9910532446, 9136033349, 01126059671",Delhi,Delhi,Beds Available,03/06 05:23 pm,"icu -10, 7 venti, Oxy 76, Non oxy 261"
"Holy family, okhla","9451514444, 011-26845900-909, 011-26332800-809, 9716832400",Delhi,Delhi,Beds Available,03/06 05:21 pm,No ICU. Oxygen is there.
Gtb hospital guru tej bahadur,"8595948014, 01122586262, 011 22692623/2144, 9625900725",Delhi,Gtb Nagar ,Beds Available,03/06 05:18 pm,"Oxygen, normal, ICU beds"
Goyal hospital,"8700001648, 8709637942",Delhi,Paschim Vihar,Beds Available,03/06 05:17 pm,"5 ICU, 9 oxygen, 8 non oxy"
Hindurao hospital,01123905703,Delhi,Delhi,Beds Available,03/06 05:16 pm,"Yes. Oxygen, ICU."
Government medical college jammu,"(0)1912584234, 0191-2582355, 56/ 2585444 ",J&K,Jammu,Beds Available,03/06 05:09 pm,250 oxy and venti
Gian sagar medical college and hospital,"6284177567, 01762 520 000, 9910223322, 9582041424, 8699646607 ",Punjab,Patiala,Beds Available,03/06 05:06 pm,10-15 all kind
St stephens hospital,"011 4249171, 011 23966021",Delhi,Delhi,Beds Available,03/06 02:48 pm,Oxy beds 
Sri balaji action medical inst.,"9999174129, 01142888888",Delhi,Delhi,Beds Available,03/06 02:47 pm,Oxy beds
Sms hospital,080769 56969,Delhi,Delhi,Beds Available,03/06 02:46 pm,"16 Oxy, 5 ICU"
Sir ganga ram hospital (pvt),"01142253001, 01142253002, 01142253003, 9311407393, 9311407391,  01142255555",Delhi,Delhi,Beds Available,03/06 02:45 pm,oxy beds and icu + ventilators
"Shri ram hospital, pal road",9782657338,Rajasthan,Jodhpur,Beds Available,03/06 02:44 pm,33 Oxy beds 
Medeor hospital ,"01141222222, 8130390341, 9871447373",Delhi,Delhi,Beds Available,03/06 02:14 pm,"oxygen, ICU and general beds available. ventilator dicey."
Medanta irba ormanjhi (private),0651 712 3100,Jharkhand,Ranchi,Beds Available,03/06 02:14 pm,
Max ss hospital,"8800333777, 7042500536, 9818533117, 01166422112",Delhi,Delhi,Beds Available,03/06 02:13 pm,
"Vivekanand swasthay sewa samiti hospital
",9413378691,Rajasthan,Bhadra,Beds Available,03/06 12:55 pm,oxygen beds are there.
Vinayaka hospital,07947185014,Maharashtra,Mulund,Beds Available,03/06 12:53 pm,oxy & general
Vimhans nayati hospital,"01166176617,  01166176617  9910516340  9873422574",Delhi,Delhi,Beds Available,03/06 12:50 pm,Beds available of all kinds
"Ved hospital, bhiwandi",9222161616,Maharashtra,Mumbai,Beds Available,03/06 12:44 pm,oxy 
Vasundhara hospital ,"9024288259, 8890287739",Rajasthan,Jodhpur,Beds Available,03/06 12:44 pm,"oxygen beds available, no icu"
Vardaan hospital and trauma centre,8199984102,Haryana,Gurugram,Beds Available,03/06 12:43 pm,oxy and non oxy
Vaga hospital,"063910 00030, 9682000018",Lucknow ,Uttar Pradesh,Beds Available,03/06 12:40 pm,oxy
Urmila hospital ,"9076610273, 9455020306",Uttar Pradesh,Lucknow,Beds Available,03/06 12:38 pm,"venti, icu, oxy avbl"
Swami dayanand,"9971443252, 011-22581031, 011-22581036, 0112110065",Delhi,Delhi,Beds Available,03/06 12:30 pm," oxy beds, accepting patients with spo2 depends"
Sushila hospital,9999390291,Delhi,Delhi,Beds Available,03/06 12:29 pm,"Icu, Oxy, Other Non Oxy, no venti"
Sunrise hospital ,"0-1148820000, 9711437535",Delhi,Delhi,Beds Available,03/06 12:27 pm,oxy and icu - They take all patients however require an HRCT for severe patients.
Sadar hospital ranchi (poc: smt. Brijlata),"8789003577, 8750602550,7489921286",Jharkhand,Ranchi,Beds Available,02/06 05:54 pm,Around 250 beds available. Both ICU and oxygen.
S r memorial hospital,6263919436,Madhya Pradesh,Gwalior,Beds Available,02/06 05:52 pm,"50 beds, 20 oxygen and 30 non oxygen bed available"
Shakuntala nursing home,"9211783762, 9211783761",Delhi,Delhi,Beds Available,02/06 05:34 pm,12 beds. Both oxygen and ICU.
Ri hospital ,9425127730,Madhya Pradesh,Morena,Beds Available,02/06 05:32 pm,2 oxygen beds and 10 isolation. No ICU.
Sehgal neo hospital,"8527597171,  01145565656",Delhi,Meera Bagh,Beds Available,02/06 05:23 pm,
Sardar vallabhbhai patel," 9868100678, 9818047498, 7835964324",Delhi,Delhi,Beds Available,02/06 05:19 pm,Oxygen and ICU beds
Saras hospital,"0-8409007938, 8340302165, 7542069363",Patna,Bihar,Beds Available,02/06 05:13 pm,Oxygen and ICU beds available.
Sapphire hospital,022 25333222,Maharashtra,Mumbai,Beds Available,02/06 05:12 pm,Oxygen and ICU beds available.
Sanjeevni vyas hospital,9001090888,Rajasthan,Jhalawar,Beds Available,02/06 05:04 pm,Oxygen and ventilator beds available.
Savesadan,6204801102,Jharkhand,Ranchi,Beds Available,02/06 05:03 pm,50 Oxygen beds
Sanjeevni hospital,9801110547,Bihar,Patna,Beds Available,02/06 04:56 pm,Only oxygen beds. No ICU.
Sanjay gandhi memorial hospital,01127913220,Delhi,Delhi,Beds Available,02/06 04:52 pm,Both oxygen and ICU beds available.
Rathi hospital  nagloi,9871173355,Delhi,Delhi,Beds Available,02/06 04:20 pm,"17 oxygen, 5 i.c.u. 7 ventilator beds are available
"
Ram manohar lohia hospital,"011-23365525, 01123404935",Delhi,Delhi,Beds Available,02/06 04:12 pm,95 oxygen beds 25 i.c.u. 30 ventilator beds are available
Rajeev gandhi super speciality hospital,"01122890773, 01122890789, 01122890611, 8595524745",Delhi,Delhi,Beds Available,02/06 04:09 pm,sufficient beds are available but patient details will be required and patient will be checked up first and bed will be arranged accordingly
Rainbow hospital,9511223623,Maharashtra,Pune,Beds Available,02/06 04:03 pm,5 non - oxygen beds are available
"Radha soami satsang -beas,
bhati mines,  chhatarpur,nr. Sawan public school","011 26654913, 01126655547",Delhi,Qutub Minar Road,Beds Available,02/06 04:02 pm,"88 oxygen , 30 i.c.u. , 45 general beds are available
"
"Pushpawati singhania hospital, saket ","91 - 011 - 61426142 , 91 - 011 - 30611700 , 9582261515, 011-30611886, 9717159780",Delhi,Saket,Beds Available,02/06 03:59 pm,Some oxygen beds are available
Pushpawati hospital,9717159780,Delhi,Delhi,Beds Available,02/06 03:59 pm,70 oxygen and 22 non oxygen beds are available
"Pranami, kirti sharma",7988934638,Haryana,Hisar,Beds Available,02/06 03:51 pm,Oxygen beds and normal beds are available 
Prakash research centre and hospital,"8668606730, 02342 662366, 9225361919, 9850364008",Maharashtra,Sangli,Beds Available,02/06 03:50 pm,Only oxygen beds are available for covid patient
Park hospital,0-1244900000,Delhi,Gurugram,Beds Available,02/06 03:44 pm,Oxygen beds are available in emergency ward
Park hospital,"011 4532 3232, 9315098446, 9899241482",Delhi,Delhi,Beds Available,02/06 03:43 pm,"Oxygen, i.c.u. normal, ventilator beds are available"
